search_word,sum,date
php,1671,2020-04-05
laravel,321,2020-04-05
cakephp,174,2020-04-05
wordpress,114,2020-04-05
ruby,787,2020-04-05
rails,462,2020-04-05
python,724,2020-04-05
django,84,2020-04-05
flask,23,2020-04-05
java,2264,2020-04-05
spring,523,2020-04-05
struts,154,2020-04-05
kotlin,302,2020-04-05
javascript,2026,2020-04-05
react,522,2020-04-05
vue,413,2020-04-05
jquery,449,2020-04-05
swift,436,2020-04-05
objective-c,270,2020-04-05
go,304,2020-04-05
gcp,217,2020-04-05
aws,2027,2020-04-05
azure,278,2020-04-05
linux,2354,2020-04-05
git,1791,2020-04-05
svn,149,2020-04-05
jenkins,283,2020-04-05
circle,42,2020-04-05
mysql,1453,2020-04-05
postgresql,474,2020-04-05
oracle,1008,2020-04-05
sql server,105,2020-04-05
sql,784,2020-04-05
